Current / A,V1  -sample/ uV,time/s
39.32014,36.564701,59.743
39.351181,37.009137,59.789
39.381515,37.432359,59.834
39.411193,37.753178,59.88
39.442034,38.043819,59.926
39.472637,38.234782,59.972
39.503794,38.344703,60.018
39.534616,38.480767,60.063
39.565369,38.67341,60.109
39.595646,38.854998,60.155
39.625254,39.023233,60.2
39.655753,39.207654,60.246
39.931386,42.161764,60.292
39.96288,42.95682,60.705
39.993103,43.358011,60.752
40.023579,43.739211,60.797
40.054405,44.104132,60.843
40.084421,44.411953,60.889
40.113991,44.676852,60.935
40.144863,44.920992,60.981
