Current / A,V1  -sample/ uV,time/s
7.24007,-5.801486,11.615
7.270855,-5.858438,11.661
7.30166,-5.906551,11.707
7.332362,-5.942567,11.752
7.361876,-5.969384,11.798
7.3923,-6.005792,11.844
7.495825,-6.281381,11.89
7.527102,-6.370149,12.046
7.557979,-6.421237,12.092
7.80925,-6.413355,12.138
7.839371,-4.97091,12.516
7.869998,-4.881162,12.562
7.900929,-4.844597,12.608
7.932215,-4.802515,12.653
7.962225,-4.754878,12.699
7.993031,-4.705468,12.745
8.023158,-4.658512,12.791
8.053337,-4.618496,12.837
8.083619,-4.596693,12.883
8.114208,-4.607907,12.928
8.229177,-4.67977,12.974
8.259537,-4.622209,13.145
8.290818,-4.556502,13.191
8.401885,-4.484798,13.237
8.43289,-4.283042,13.403
8.463152,-4.334454,13.449
8.493108,-4.398916,13.495
8.523439,-4.443235,13.541
8.553546,-4.449418,13.587
8.584288,-4.42077,13.633
8.615296,-4.379964,13.678
8.646411,-4.380185,13.724
8.676188,-4.452643,13.77
8.706872,-4.560324,13.815
8.736889,-4.661666,13.861
8.767611,-4.726363,13.907
8.797864,-4.763138,13.953
8.828933,-4.778157,13.999
8.860687,-4.798416,14.045
8.963109,-5.118574,14.091
8.993578,-5.252691,14.246
9.023121,-5.403008,14.292
9.13387,-5.551976,14.338
9.164717,-5.938093,14.503
9.194534,-5.988728,14.549
9.224826,-6.013781,14.595
9.255217,-6.02767,14.641
9.286074,-6.025381,14.687
9.3178,-6.029565,14.733
9.34824,-6.024858,14.778
9.378779,-6.010207,14.824
9.408831,-5.965782,14.87
9.439048,-5.871171,14.916
9.470081,-5.743998,14.962
9.500586,-5.580501,15.007
9.531854,-5.400187,15.053
9.562334,-5.236949,15.099
9.592752,-5.071951,15.145
9.695472,-4.432329,15.191
9.725704,-4.237629,15.346
9.756889,-4.111893,15.392
9.86702,-4.020243,15.438
9.897521,-3.985523,15.603
9.927883,-3.911804,15.649
9.958978,-3.733452,15.695
9.98983,-3.488749,15.741
10.02059,-3.254502,15.787
10.051035,-3.085652,15.832
10.080513,-2.997485,15.878
10.110706,-2.971761,15.924
10.141444,-3.001909,15.97
10.171533,-3.092596,16.016
10.202383,-3.241456,16.062
10.23345,-3.40716,16.107
10.264135,-3.523181,16.153
10.294297,-3.611846,16.199
10.324693,-3.698157,16.245
10.599874,-3.517668,16.291
10.630575,-3.620502,16.703
10.66126,-3.743874,16.749
10.69222,-3.878932,16.795
10.722397,-3.990015,16.841
10.752179,-4.076689,16.886
10.782497,-4.114684,16.932
10.812862,-4.106433,16.978
10.843984,-4.062455,17.023
10.875184,-3.989829,17.069
10.905835,-3.915094,17.115
10.935919,-3.863203,17.161
10.966266,-3.845065,17.206
10.996324,-3.86273,17.252
11.025695,-3.904747,17.298
11.056777,-3.954843,17.344
11.161404,-3.988037,17.39
11.191838,-3.960422,17.545
11.222116,-3.912573,17.591
11.474184,-3.864478,17.637
11.504964,-3.365888,18.016
11.53571,-3.31268,18.062
11.566493,-3.258569,18.108
11.596016,-3.224325,18.153
11.626702,-3.20033,18.199
11.656998,-3.181515,18.245
11.687412,-3.149183,18.291
11.717758,-3.113848,18.337
11.748815,-3.068748,18.382
11.780068,-3.005654,18.429
11.893501,-2.85148,18.474
11.924438,-2.889699,18.645
11.954255,-2.956054,18.691
12.066326,-3.068475,18.737
12.096775,-3.427243,18.904
12.127043,-3.473301,18.95
12.158319,-3.519093,18.995
12.18878,-3.556202,19.041
12.219088,-3.592293,19.087
12.250291,-3.625967,19.133
12.281102,-3.641408,19.179
12.311034,-3.627335,19.225
12.341143,-3.582377,19.271
12.371932,-3.543529,19.316
12.402142,-3.557166,19.362
12.432441,-3.585561,19.408
12.464277,-3.588104,19.454
12.495145,-3.571914,19.499
12.525379,-3.563878,19.545
12.627994,-3.7664,19.591
12.657941,-3.864024,19.746
12.689073,-3.91666,19.792
12.799502,-3.911922,19.838
12.830055,-3.645688,20.004
12.860523,-3.525257,20.049
12.891232,-3.421986,20.095
12.922706,-3.322606,20.141
12.953392,-3.228867,20.187
12.984125,-3.164829,20.233
13.013459,-3.137701,20.279
13.043726,-3.147816,20.324
13.074016,-3.139372,20.37
13.105237,-3.103978,20.416
13.136398,-3.059676,20.462
13.167349,-3.033338,20.508
13.197679,-3.014499,20.553
13.22781,-3.002993,20.599
13.257327,-3.009289,20.645
13.360708,-3.095168,20.691
13.392559,-3.078827,20.846
13.423801,-3.054485,20.892
13.533103,-3.020663,20.938
